,Party,CriminalCases,Education,Age,Gender,TotalAssets,Liabilities,Winner,State,Constituency,Category
0,6,0,1,65,1,649632943.0,8318576,0,30,495,0
1,8,9,6,45,1,15765250.0,0,1,30,133,0
2,7,0,0,44,1,430286.0,0,0,10,3,2
3,7,0,0,45,1,56279.0,6000,0,35,335,2
4,9,3,0,32,1,7967355.0,258960,0,19,354,0
5,0,0,0,56,1,102000.0,0,0,16,272,0
6,8,0,0,49,1,17620000.0,3800000,0,1,195,0
7,7,0,1,48,1,17950000.0,0,0,13,27,0
8,7,0,11,46,1,6258320.0,0,0,34,202,0
9,7,0,2,44,1,4122551.0,0,0,24,116,0
10,8,0,11,61,1,158909760.0,0,0,15,56,0
11,3,0,5,63,1,2400000.0,0,0,28,364,0
12,8,0,5,55,1,67000.0,0,0,28,223,0
13,8,3,1,62,1,16343817.0,2718221,0,4,317,0
14,8,2,5,39,1,3633263.0,705948,0,31,382,0
15,3,0,1,32,1,425000.0,225000,0,19,110,0
16,7,0,10,45,1,21441634.0,697808,0,13,66,0
17,8,0,0,53,1,2746000.0,0,0,16,112,0
18,8,0,5,46,1,4367584.0,980000,0,35,327,0
19,7,0,2,0,1,50000.0,0,0,11,197,0
20,7,0,0,34,1,2600000.0,0,0,13,232,3
21,6,1,5,62,1,2206559.0,0,0,35,479,0
22,8,0,5,56,1,1042000.0,900000,0,3,468,0
23,6,1,5,61,1,13846286.0,0,0,35,356,0
24,8,0,5,47,1,1800000.0,0,0,14,207,0
25,3,0,8,29,1,813848.0,0,0,4,34,0
26,7,0,0,57,1,1036500.0,0,0,30,525,0
27,8,0,11,54,1,46864136.0,9836275,0,30,525,0
28,7,0,0,47,1,530000.0,0,0,30,525,0
29,7,0,0,41,1,8165500.0,340000,0,30,403,0
30,7,0,0,43,1,410000.0,0,0,13,481,0
31,7,0,0,35,1,582300.0,0,0,6,421,0
32,7,0,7,76,1,2170500.0,0,0,34,180,0
33,7,0,2,38,1,1768600.0,700000,0,30,131,0
34,8,1,11,44,1,3620329.0,1182188,0,16,272,0
35,3,0,10,58,1,4331561.0,160000,0,24,383,0
36,7,0,6,0,1,2573572.0,1600,0,18,98,0
37,8,0,0,54,1,1131000.0,1200000,0,18,437,0
38,6,0,0,44,1,7654500.0,7000000,0,1,195,0
39,7,0,11,31,1,1800.0,0,0,30,443,0
40,7,0,8,48,1,3037410.0,375000,0,16,408,0
41,7,0,1,34,1,368000.0,800000,0,35,489,0
42,8,2,6,36,1,10907085.0,3064329,0,35,52,0
43,8,1,5,48,1,1785000.0,0,0,31,455,0
44,8,0,1,72,1,1204412.0,0,0,35,236,0
45,8,0,10,64,1,6829000.0,0,0,35,47,0
46,7,0,6,35,1,10675000.0,0,0,13,66,0
47,7,0,3,0,1,2000.0,0,0,19,493,0
48,7,0,1,38,1,462306.0,0,0,19,336,0
49,2,2,11,44,1,4153000.0,0,0,35,154,0
50,6,0,6,54,1,63014502.0,15160000,1,35,236,0
51,8,1,5,42,1,6995050.0,5800000,0,19,493,0
52,7,0,2,39,1,92600.0,0,0,35,236,2
53,8,0,11,56,1,20692366.0,4273594,0,19,435,0
54,7,0,0,31,1,427900.0,0,0,33,65,2
55,8,0,1,38,1,2445000.0,139257,0,33,524,0
56,7,0,11,39,1,2908779.0,370000,0,16,390,0
57,3,0,11,51,1,38238575.0,4130000,0,28,130,0
58,0,0,11,26,1,15199272.0,0,1,35,154,0
59,2,0,6,33,1,44093207.0,0,1,6,427,0
60,7,0,3,36,1,564425.0,175000,0,16,9,2
61,7,0,11,64,1,9999242.0,1421961,0,16,534,0
62,8,0,10,52,1,6299991.0,700000,0,19,536,0
63,8,0,3,28,1,85000.0,0,0,19,228,0
64,9,0,1,33,1,637688791.0,15872212,0,19,350,0
65,6,0,4,70,1,11560825.0,654320,1,35,326,0
66,9,0,1,42,1,1224844.0,379980,0,3,74,0
67,7,0,11,38,1,165500.0,0,0,14,433,0
68,4,0,11,67,1,10785663.0,0,0,35,326,0
69,7,0,1,44,1,6692346.0,0,0,16,408,0
70,8,0,11,72,1,4613889.0,0,0,35,516,0
71,8,1,5,40,1,45138014.0,1700000,0,4,88,0
72,6,0,11,51,1,49900443.0,0,0,33,447,0
73,7,0,2,51,1,1251500.0,0,0,33,308,2
74,7,0,3,46,1,1738500.0,600000,0,33,192,0
75,8,0,6,42,1,208500.0,0,0,25,107,2
76,6,0,6,64,1,30187177.0,0,0,15,359,0
77,10,0,1,64,1,1282585640.0,131646350,0,1,379,0
78,8,0,5,40,1,29967925.0,6107118,0,33,12,0
79,7,0,5,45,1,9715000.0,346480,0,33,343,0
80,8,10,10,59,1,253880475.0,61810866,1,19,463,0
81,6,16,0,58,1,81465854.0,0,1,35,47,0
82,7,0,5,32,1,15770000.0,0,0,4,378,2
83,2,3,5,41,1,7217674.0,0,1,33,192,0
84,8,6,5,29,1,22850061.0,5811022,0,19,354,0
85,7,0,11,41,1,123000.0,0,0,19,229,2
86,8,1,5,66,1,32596257.0,1587104,1,19,19,2
87,3,0,6,48,1,24702613.0,628000,0,16,498,0
