,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year,Candidate_Type,Votes,Valid_Votes,Vote_Share_Percentage,Party_ID
5361,shribishnupadaray,BJP,1,Graduate,59,1241034.0,0,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,75211,170103,44.21,1605
5370,shrikuldeepraisharma,INC,1,Graduate Professional,41,5409630.0,10374,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,72221,170103,42.46,3482
5373,shrimsmohan,BSP,0,10th Pass,50,5452500.0,300000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,789,170103,0.46,16651
5374,shrinkpnair,CPI(ML)(L),0,10th Pass,54,1488456.0,62000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,734,170103,0.43,2472
5378,shripradeepkumarekka,JDP,0,Others,37,410000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,1785,170103,1.05,11044
5380,shriprganeshan,RJD,0,Not Given,71,329563.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,4916,170103,2.89,12103
5383,shritali,IND,0,12th Pass,37,445957.0,296000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,398,170103,0.23,10809
5384,shritapankumarbepari,CPM,0,Post Graduate,52,3986000.0,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,7190,170103,4.23,14635
5385,shrivakiathvalappilkhalid,IND,0,8th Pass,41,57000.0,48362,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2009,GEN,1480,170103,0.87,10809
75,adetukaram,BJP,0,10th Pass,55,865000.0,370000,0,andhra_pradesh,adilabad,2009,ST,57931,863581,6.71,1605
2659,kotnakramesh,INC,0,12th Pass,39,2600000.0,0,0,andhra_pradesh,adilabad,2009,ST,257181,863581,29.78,3482
4717,rathodsadashivnaik,BSP,0,Graduate,50,1150000.0,0,0,andhra_pradesh,adilabad,2009,ST,16471,863581,1.91,16651
1918,gvharshakumar,INC,1,Post Graduate,50,7289000.0,1014298,1,andhra_pradesh,amalapuram,2009,SC,368501,1023765,35.99,3482
222,akumarthisuryanarayana,Trilinga Praja Pragati Party,0,5th Pass,50,395000.0,0,0,andhra_pradesh,amalapuram,2009,SC,17999,1023765,1.76,12998
891,bheemaraoramjimuthabathula,PPOI,0,10th Pass,39,50000.0,0,0,andhra_pradesh,amalapuram,2009,SC,7261,1023765,0.71,6298
2609,kirankumarbinepe,PBHP,0,Not Given,43,15887.0,0,0,andhra_pradesh,amalapuram,2009,SC,4810,1023765,0.47,6124
3143,masaramadasu,RDMP,0,Not Given,45,20000.0,0,0,andhra_pradesh,amalapuram,2009,SC,2557,1023765,0.25,6447
3955,pothulaprameeladevi,PRAP,0,Graduate,55,550000.0,0,0,andhra_pradesh,amalapuram,2009,SC,328496,1023765,32.09,6132
4128,pvchakravarthi,RPI(KH),0,Graduate Professional,54,200000.0,0,0,andhra_pradesh,amalapuram,2009,SC,4480,1023765,0.44,14880
4823,sabbamhari,INC,0,12th Pass,55,85032286.0,450000,1,andhra_pradesh,anakapalle,2009,GEN,369968,1048154,35.3,3482
233,alluaravind,PRAP,1,Graduate,62,452181969.0,53958644,0,andhra_pradesh,anakapalle,2009,GEN,294183,1048154,28.07,6132
892,bheemisettinageswararao,RJD,0,Post Graduate,41,1120500.0,200000,0,andhra_pradesh,anakapalle,2009,GEN,6578,1048154,0.63,12103
995,boyinanageswararao,JD(U),0,5th Pass,52,500000.0,380898,0,andhra_pradesh,anakapalle,2009,GEN,3394,1048154,0.32,11002
3522,nandagopalgandham,IND,0,Others,60,148180000.0,30000000,0,andhra_pradesh,anakapalle,2009,GEN,12322,1048154,1.18,10809
3708,nookarapusuryaprakasarao,TDP,0,Graduate,50,119726600.0,0,0,andhra_pradesh,anakapalle,2009,GEN,317056,1048154,30.25,8300
3861,pathalasatyarao,IND,0,Literate,46,150000.0,0,0,andhra_pradesh,anakapalle,2009,GEN,9218,1048154,0.88,10809
4109,pulamarasettivenkataramana,PPOI,0,Graduate,28,3500.0,0,0,andhra_pradesh,anakapalle,2009,GEN,9978,1048154,0.95,6298
325,ananthavenkataramireddy,INC,0,Post Graduate,52,13015000.0,0,1,andhra_pradesh,anantapur,2009,GEN,457876,1000208,45.78,3482
255,amarnath,LSP,0,Graduate,32,488500.0,0,0,andhra_pradesh,anantapur,2009,GEN,6340,1000208,0.63,5107
265,ambatiramakrishnareddy,BJP,0,Graduate Professional,41,25550000.0,251000,0,andhra_pradesh,anantapur,2009,GEN,16540,1000208,1.65,1605
1307,devellamurali,IND,0,5th Pass,45,,0,0,andhra_pradesh,anantapur,2009,GEN,4781,1000208,0.48,10809
1672,gaddalanagabhushanam,BSP,2,Post Graduate,48,575000.0,9000,0,andhra_pradesh,anantapur,2009,SC,5921,1000208,0.59,16651
1782,ghari,PPOI,0,Post Graduate,30,80000.0,0,0,andhra_pradesh,anantapur,2009,GEN,3232,1000208,0.32,6298
2387,kalavasrinivasulu,TDP,0,Post Graduate,44,4205517.0,1950000,0,andhra_pradesh,anantapur,2009,GEN,379955,1000208,37.99,8300
2665,kpnarayanaswamy,IND,0,Graduate,41,,0,0,andhra_pradesh,anantapur,2009,SC,8908,1000208,0.89,10809
2713,krushnapuramgayathridevi,CPI(ML)(L),0,5th Pass,36,1057900.0,750000,0,andhra_pradesh,anantapur,2009,GEN,2083,1000208,0.21,2472
3118,mansoor,PRAP,0,10th Pass,56,33790000.0,0,0,andhra_pradesh,anantapur,2009,GEN,11761,564199,2.08,10809
2084,illaramireddy,IND,0,Literate,54,,0,0,andhra_pradesh,araku,2009,ST,12086,792367,1.53,10809
2783,kurusabojjaiah,BJP,0,10th Pass,56,1028805.0,0,0,andhra_pradesh,araku,2009,ST,23093,792367,2.91,1605
2801,lakerajarao,BSP,0,12th Pass,50,350000.0,0,0,andhra_pradesh,araku,2009,ST,24331,792367,3.07,16651
3212,meenakasimhachalam,PRAP,0,Graduate,43,2029200.0,0,0,andhra_pradesh,araku,2009,ST,128649,792367,16.24,6132
3237,midiyambaburao,CPM,0,Graduate Professional,58,707000.0,0,0,andhra_pradesh,araku,2009,ST,168014,792367,21.2,14635
