,Unnamed: 0,Unnamed: 0.1,Election_Type,Assembly_No,Constituency_No,Year,month,Position,Candidate,State_Name,Constituency_Name,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
2537,2537,2537,GE,14,16,2004,4.0,24,aadilkhan,madhya_pradesh,chhindwara,M,IND,1498,GEN,754637,1145107,65.9,0.2,15,0.0,10809,5th Pass
1852,1852,1852,GE,14,9,2007,,6,aaftawahmadsiddiqui,jharkhand,jamshedpur,M,SP,10303,,641038,1396230,45.91,1.61,373,0.06,7425,
1078,1078,1078,GE,14,11,2004,4.0,5,aajuramchandravanshi,chhattisgarh,rajnandgaon,M,IND,7415,GEN,665935,1121618,59.37,1.11,2147,0.32,10809,Not Given
4968,4968,4968,GE,14,47,2004,4.0,6,aanhemantkushwaha,uttar_pradesh,chandauli,M,RSMD,9959,GEN,704435,1580853,44.56,1.41,133,0.02,6825,
2277,2277,2277,GE,14,19,2004,4.0,5,aansari,kerala,chirayinkil,M,IND,4756,GEN,669639,1020604,65.61,0.71,1552,0.23,10809,10th Pass
2117,2117,2117,GE,14,27,2004,4.0,4,aarinoormohdkasimsahab,karnataka,bagalkot,M,BSP,28009,GEN,868472,1324829,65.55,3.23,3140,0.36,16651,Not Given
4013,4013,4013,GE,14,25,2004,4.0,1,aaronrashidjm,tamil_nadu,periyakulam,M,INC,346851,GEN,700534,1056853,66.28,49.51,21155,3.02,3482,10th Pass
2740,2740,2740,GE,14,8,2004,4.0,9,aartimehta,maharashtra,mumbai_north_west,F,IND,1113,GEN,747687,1515745,49.33,0.15,273,0.04,10809,Graduate
915,915,915,GE,14,37,2004,4.0,7,aashutoshkumarsingh,bihar,aurangabad,M,IND,4297,GEN,767238,1401973,54.73,0.56,288,0.04,10809,10th Pass
2792,2792,2792,GE,14,10,2008,,8,aasiyaismailaga,maharashtra,thane,F,IND,2020,,889568,3623806,24.55,0.23,473,0.05,10809,
5617,5617,5617,GE,14,7,2004,4.0,1,abaghanikhanchoudhury,west_bengal,malda,M,INC,412913,GEN,849111,1088411,78.01,48.63,111108,13.09,3482,Graduate
2130,2130,2130,GE,14,1,2004,4.0,9,abbasmuthalappara,kerala,kasaragod,M,IND,1531,GEN,901603,1160134,77.72,0.17,128,0.01,10809,
3985,3985,3985,GE,14,22,2004,4.0,7,abdulhakkeema,tamil_nadu,palani,M,IND,1440,GEN,695442,1088931,63.86,0.21,29,0.0,10809,
