,Unnamed: 0,Unnamed: 0.1,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
370,370,370,GE,andhra_pradesh,15,25,2009,4.0,7,aamarnadh,M,RKSP,3951,SC,1044438,1291921,chittoor,80.84,0.38,0,0.0,12157,Graduate Professional
2351,2351,2351,GE,jharkhand,15,1,2009,4.0,7,aameliyahansda,F,RSP,13702,ST,644500,1167993,rajmahal,55.18,2.13,1798,0.28,12053,8th Pass
1505,1505,1505,GE,delhi,15,4,2009,4.0,5,aamerahmedmadni,M,SP,1732,GEN,765018,1373146,new_delhi,55.71,0.23,264,0.03,7425,Graduate Professional
6025,6025,6025,GE,tamil_nadu,15,31,2009,4.0,19,aanandanvsks,M,IND,746,SC,775253,1092438,sivaganga,70.97,0.1,30,0.0,10809,Not Given
4035,4035,4035,GE,maharashtra,15,18,2009,4.0,9,aappasahebradhakisankudhekar,M,KM,3917,GEN,797127,1426255,jalna,55.89,0.49,124,0.02,11376,12th Pass
6209,6209,6209,GE,telangana,15,4,2009,4.0,12,aarismohammed,M,IND,4774,GEN,889511,1333271,nizamabad,66.72,0.54,0,0.0,10809,
3153,3153,3153,GE,kerala,15,8,2009,4.0,7,aarokiasamy,M,IND,3776,GEN,789648,1074818,palakkad,73.47,0.48,652,0.08,10809,10th Pass
6039,6039,6039,GE,tamil_nadu,15,33,2009,4.0,1,aaronrashidjm,M,INC,340575,GEN,800529,1074931,theni,74.47,42.54,6302,0.79,3482,12th Pass
7068,7068,7068,GE,uttar_pradesh,15,37,2009,4.0,14,aavidhussain,M,IND,1501,GEN,646650,1431787,amethi,45.16,0.23,82,0.01,10809,Not Given
4452,4452,4452,GE,maharashtra,15,41,2009,4.0,1,aawalejaywantgangaram,M,INC,372890,SC,829393,1509987,latur,54.93,44.96,7975,0.96,3482,10th Pass
1967,1967,1967,GE,gujarat,15,25,2009,4.0,10,aazadkumarchaturbhaipatel,M,SVPP,1451,GEN,757551,1623415,navsari,46.66,0.19,65,0.01,7682,Post Graduate
6818,6818,6818,GE,uttar_pradesh,15,21,2009,4.0,9,abadheshshakya,M,RSMD,1634,GEN,695032,1399259,mainpuri,49.67,0.24,77,0.01,6825,10th Pass
7912,7912,7912,GE,uttarakhand,15,5,2009,4.0,17,abbas,M,IND,1057,GEN,787963,1294280,hardwar,60.88,0.13,35,0.0,10809,5th Pass
3082,3082,3082,GE,kerala,15,1,2009,4.0,6,abbasmothalappara,M,IND,2425,GEN,847096,1113892,kasaragod,76.05,0.29,379,0.04,10809,10th Pass
7868,7868,7868,GE,uttarakhand,15,2,2009,4.0,10,abbdulkadir,M,IND,2662,GEN,533568,1092282,garhwal,48.85,0.5,702,0.13,10809,Literate
7221,7221,7221,GE,uttar_pradesh,15,46,2009,4.0,15,abdeshbhooshansrivastava,M,IND,4210,GEN,861859,1562082,jhansi,55.17,0.49,37,0.0,10809,Not Given
5185,5185,5185,GE,rajasthan,15,14,2009,4.0,3,abdulaziz,M,BSP,68434,GEN,609879,1486307,nagaur,41.03,11.22,59542,9.76,16651,Graduate Professional
6476,6476,6476,GE,uttar_pradesh,15,3,2009,4.0,5,abdulazizansari,M,PECP,6537,GEN,745001,1370117,muzaffarnagar,54.37,0.88,2756,0.37,5995,10th Pass
608,608,608,GE,bihar,15,6,2009,4.0,2,abdulbarisiddiki,M,RJD,154167,GEN,556554,1397256,madhubani,39.83,27.7,42744,7.68,12103,12th Pass
6515,6515,6515,GE,uttar_pradesh,15,4,2009,4.0,21,abdulbasit,M,KKJHS,807,GEN,707590,1287070,bijnor,54.98,0.11,31,0.0,4894,Graduate
5324,5324,5324,GE,rajasthan,15,25,2009,4.0,10,abdulfarid,M,IND,2195,GEN,871864,1447157,jhalawar-baran,60.25,0.25,157,0.02,10809,Post Graduate
1488,1488,1488,GE,delhi,15,3,2009,4.0,5,abdulgaffar,M,LD,3157,GEN,857406,1604795,east_delhi,53.43,0.37,1098,0.13,4996,8th Pass
664,664,664,GE,bihar,15,9,2009,4.0,17,abdulgafoor,M,IND,3157,GEN,730456,1311225,araria,55.71,0.43,68,0.01,10809,Not Given
3707,3707,3707,GE,madhya_pradesh,15,28,2009,4.0,10,abdulgafurguddupirji,M,IND,1499,GEN,812414,1355325,khandwa,59.94,0.18,18,0.0,10809,5th Pass
1300,1300,1300,GE,chhattisgarh,15,5,2009,4.0,16,abdulhamidsiddique,M,IND,1580,GEN,770024,1472793,bilaspur,52.28,0.21,242,0.03,10809,Others
1285,1285,1285,GE,chhattisgarh,15,5,2009,4.0,1,abdulhamidsiddiqui,M,BJP,347930,GEN,770024,1472793,bilaspur,52.28,45.18,20139,2.62,1605,
5983,5983,5983,GE,tamil_nadu,15,28,2009,4.0,20,abduljaleela,M,IND,734,GEN,799580,1091519,mayiladuthurai,73.25,0.09,88,0.01,10809,8th Pass
439,439,439,GE,assam,15,6,2009,4.0,11,abdulkaddus,M,SP,2522,GEN,901169,1239607,barpeta,72.7,0.28,264,0.03,7425,10th Pass
441,441,441,GE,assam,15,6,2009,4.0,13,abdulkader,M,IND,1808,GEN,901169,1239607,barpeta,72.7,0.2,259,0.03,10809,Graduate
6319,6319,6319,GE,telangana,15,11,2009,4.0,11,abdulkareemkhajamohammad,M,LSP,7412,GEN,926516,1368868,mahbubnagar,67.68,0.8,539,0.06,5107,
7959,7959,7959,GE,west_bengal,15,5,2009,4.0,4,abdulkarimchowdhary,M,IND,18427,GEN,898399,1108382,raiganj,81.05,2.05,8001,0.89,10809,Graduate
2338,2338,2338,GE,jammu_and_kashmir,15,6,2009,4.0,15,abdulmajeedmalik,M,BCDP,1739,GEN,843314,1719897,jammu,49.03,0.21,187,0.02,1034,Not Given
5542,5542,5542,GE,tamil_nadu,15,8,2009,4.0,12,abdulmajeedoosi,M,IND,1312,GEN,723529,1010067,vellore,71.63,0.18,151,0.02,10809,Graduate
8018,8018,8018,GE,west_bengal,15,11,2009,4.0,1,abdulmannanhossain,M,INC,496348,GEN,1051383,1192899,murshidabad,88.14,47.21,35647,3.39,3482,Graduate
8162,8162,8162,GE,west_bengal,15,25,2009,4.0,14,abdulmominsekh,M,IND,1176,GEN,993958,1344746,howrah,73.91,0.12,176,0.02,10809,12th Pass
