,Unnamed: 0,Election_Type,State_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
6440,6440,GE,tamil_nadu,16,33,2014,4.0,4,aaronrashidjm,M,INC,71432,GEN,1075583,1441302,theni,74.63,6.64,61120,5.68,3482,12th Pass
1352,1352,GE,chhattisgarh,16,7,2014,4.0,7,aatmaramsahu,M,SUCI,10371,GEN,1258342,1858922,durg,67.69,0.82,2251,0.18,8082,Post Graduate
1759,1759,GE,gujarat,16,8,2014,4.0,11,aayarmuljibhaikhanabhai,M,IND,808,SC,964609,1534400,ahmedabad_west,62.87,0.08,1,0.0,10809,10th Pass
8680,8680,GE,west_bengal,16,20,2014,4.0,10,abanindranathbaidya,M,IND,2100,SC,1270985,1488785,mathurapur,85.37,0.17,739,0.06,10809,10th Pass
4429,4429,GE,maharashtra,16,30,2014,4.0,7,abbashussainshaikh,M,SP,5573,GEN,768627,1447886,mumbai_south_central,53.09,0.73,3985,0.52,7425,10th Pass
3114,3114,GE,kerala,16,1,2014,4.0,15,abbasmothalappara,M,AITC,632,GEN,974215,1243730,kasaragod,78.33,0.06,0,0.0,18228,10th Pass
209,209,GE,andhra_pradesh,16,13,2014,4.0,10,abburikoteswararao,M,PPOI,1636,GEN,1244926,1572017,guntur,79.19,0.13,181,0.01,6298,Graduate Professional
2338,2338,GE,jammu_and_kashmir,16,3,2014,4.0,7,abdulahadmir,M,IND,3439,GEN,375279,1301143,anantnag,28.84,0.92,127,0.03,10809,12th Pass
8404,8404,GE,uttarakhand,16,5,2014,4.0,13,abdulaleem,M,IND,1682,GEN,1175692,1642873,hardwar,71.56,0.14,565,0.05,10809,Post Graduate
1485,1485,GE,delhi,16,1,2014,4.0,11,abdulamiramiro,M,IND,1765,GEN,981863,1447230,chandni_chowk,67.84,0.18,122,0.01,10809,5th Pass
2993,2993,GE,karnataka,16,24,2014,4.0,3,abdulazeem,M,JD(S),92681,GEN,1356718,2401472,bangalore_north,56.5,6.83,64574,4.76,10979,Post Graduate
5576,5576,GE,rajasthan,16,14,2014,4.0,7,abdulaziz,M,BSP,11239,GEN,1004019,1678660,nagaur,59.81,1.12,2581,0.26,16651,Graduate
5463,5463,GE,rajasthan,16,7,2014,4.0,14,abdulazizbhartiya,M,RUC,1103,GEN,1296806,1957820,jaipur,66.24,0.09,210,0.02,6870,Graduate
8568,8568,GE,west_bengal,16,11,2014,4.0,11,abdulbari,M,IUML,5383,GEN,1287763,1512098,murshidabad,85.16,0.42,844,0.07,3952,Others
649,649,GE,bihar,16,6,2014,4.0,2,abdulbarisiddiqui,M,RJD,337505,GEN,860453,1627832,madhubani,52.86,39.22,281113,32.67,12103,12th Pass
6660,6660,GE,telangana,16,4,2014,4.0,8,abdulgani,M,BCUF,4791,GEN,1033924,1496193,nizamabad,69.1,0.46,801,0.08,1031,
3914,3914,GE,maharashtra,16,5,2014,4.0,3,abdulhafeezabdulaziz,M,BSP,33783,GEN,978626,1595435,buldhana,61.34,3.45,3990,0.41,16651,12th Pass
2726,2726,GE,karnataka,16,7,2014,4.0,10,abdulhameedfaraan,M,WPOI,3747,GEN,959384,1600962,bidar,59.93,0.39,878,0.09,8529,Post Graduate
3861,3861,GE,maharashtra,16,2,2014,4.0,15,abdulhamidshaikhhabib,M,IND,914,GEN,983083,1675367,dhule,58.68,0.09,86,0.01,10809,8th Pass
2303,2303,GE,jammu_and_kashmir,16,1,2014,4.0,5,abdulhussain,M,IND,7301,GEN,465992,1190766,baramulla,39.13,1.57,743,0.16,10809,Others
3255,3255,GE,kerala,16,11,2014,4.0,11,abdulkareem,M,IND,1376,GEN,884033,1150497,chalakudy,76.84,0.16,30,0.0,10809,10th Pass
6669,6669,GE,telangana,16,4,2014,4.0,17,abdulkareemkhanbabu,M,IND,1601,GEN,1033924,1496193,nizamabad,69.1,0.15,0,0.0,10809,
8516,8516,GE,west_bengal,16,7,2014,4.0,13,abdulkhaleque,M,AIUDF,4650,GEN,1162985,1425428,maldaha_uttar,81.59,0.4,425,0.04,795,Graduate
4222,4222,GE,maharashtra,16,19,2014,4.0,8,abdulkhudusabdulsamadshaikh,M,BMUP,3775,GEN,982933,1589395,aurangabad,61.84,0.38,853,0.09,1074,10th Pass
2222,2222,GE,haryana,16,9,2014,4.0,17,abdullatif,M,IND,699,GEN,1320620,1844906,gurgaon,71.58,0.05,14,0.0,10809,
4465,4465,GE,maharashtra,16,31,2014,4.0,21,abdullatifabdulkadarshaikh,M,IND,400,GEN,779741,1485844,mumbai___south,52.48,0.05,0,0.0,10809,8th Pass
2376,2376,GE,jammu_and_kashmir,16,6,2014,4.0,13,abdulmajidchouhan,M,IND,4177,ST,1253593,1848155,jammu,67.83,0.33,1013,0.08,10809,10th Pass
8784,8784,GE,west_bengal,16,27,2014,4.0,4,abdulmannan,M,INC,86099,GEN,1290433,1624038,srerampur,79.46,6.67,70725,5.48,3482,Graduate
415,415,GE,assam,16,2,2014,4.0,13,abdulmannanbarbhuiya,M,AAAP,3118,GEN,799830,1060175,silchar,75.44,0.39,378,0.05,13,Graduate
8559,8559,GE,west_bengal,16,11,2014,4.0,2,abdulmannanhossain,M,INC,408494,GEN,1287763,1512098,murshidabad,85.16,31.72,119467,9.28,3482,Graduate
