,Unnamed: 0,Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Turnout_Percentage,Vote_Share_Percentage,Margin,Margin_Percentage,Party_ID,MyNeta_education
0,0,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,1,kuldeepraisharma,M,INC,95308,GEN,207296,318471,65.09,45.98,1407,0.68,3482,Graduate Professional
1,1,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,2,vishaljolly,M,BJP,93901,,207296,318471,65.09,45.3,88560,42.72,1605,Graduate Professional
2,2,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,3,paritoshkumarhaldar,M,IND,5341,,207296,318471,65.09,2.58,2502,1.21,10809,Post Graduate
3,3,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,4,sanjaymeshack,M,AAAP,2839,GEN,207296,318471,65.09,1.37,353,0.17,13,12th Pass
4,4,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,5,prakashminj,M,BSP,2486,,207296,318471,65.09,1.2,765,0.37,16651,Post Graduate
5,5,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,6,ayanmandal,M,AITC,1721,,207296,318471,65.09,0.83,309,0.15,18228,Graduate
6,6,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,7,nota,,NOTA,1412,,207296,318471,65.09,0.68,418,0.2,5897,
7,7,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,8,henry,M,IND,994,,207296,318471,65.09,0.48,80,0.04,10809,10th Pass
8,8,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,9,kvenkatrambabu,M,IND,914,,207296,318471,65.09,0.44,296,0.14,10809,10th Pass
9,9,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,10,minatibiswas,F,IND,618,,207296,318471,65.09,0.3,143,0.07,10809,8th Pass
10,10,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,11,ssudershanrao,M,IND,475,,207296,318471,65.09,0.23,169,0.08,10809,Doctorate
11,11,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,12,vvkhalid,M,IND,306,GEN,207296,318471,65.09,0.15,31,0.01,10809,8th Pass
12,12,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,13,kkalimuthu,M,IND,275,,207296,318471,65.09,0.13,2,0.0,10809,8th Pass
13,13,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,14,curasheed,M,IND,273,,207296,318471,65.09,0.13,52,0.03,10809,12th Pass
14,14,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,15,gourchandramajumder,M,IND,221,GEN,207296,318471,65.09,0.11,9,0.0,10809,Graduate
15,15,GE,andaman_and_nicobar_islands,andaman_and_nicobar_islands,17,1,2019,4,16,cgsajikumar,M,AINHCP,212,GEN,207296,318471,65.09,0.1,0,0.0,662,12th Pass
16,16,GE,andhra_pradesh,aruku,17,1,2019,4,1,goddetimadhavi,F,YSRCP,562190,ST,1074538,1451418,74.03,52.32,224089,20.85,8615,Graduate Professional
17,17,GE,andhra_pradesh,aruku,17,1,2019,4,2,kishorechandradeo,M,TDP,338101,ST,1074538,1451418,74.03,31.46,290124,27.0,8300,Post Graduate
18,18,GE,andhra_pradesh,aruku,17,1,2019,4,3,nota,,NOTA,47977,,1074538,1451418,74.03,4.46,5183,0.48,5897,
19,19,GE,andhra_pradesh,aruku,17,1,2019,4,4,gangulaiahvampuru,M,JnP,42794,ST,1074538,1451418,74.03,3.98,24927,2.32,17069,10th Pass
20,20,GE,andhra_pradesh,aruku,17,1,2019,4,5,drkosurikasiviswanadhaveeravenkatasatyanarayanareddy,M,BJP,17867,ST,1074538,1451418,74.03,1.66,137,0.01,1605,Doctorate
21,21,GE,andhra_pradesh,aruku,17,1,2019,4,6,shrutidevivyricherla,F,INC,17730,ST,1074538,1451418,74.03,1.65,3904,0.36,3482,Graduate Professional
22,22,GE,andhra_pradesh,aruku,17,1,2019,4,7,kangalabaludora,M,IND,13826,ST,1074538,1451418,74.03,1.29,2590,0.24,10809,Illiterate
23,23,GE,andhra_pradesh,aruku,17,1,2019,4,8,naravasatyavathi,F,IND,11236,ST,1074538,1451418,74.03,1.05,996,0.09,10809,10th Pass
24,24,GE,andhra_pradesh,aruku,17,1,2019,4,9,anumulavamsikrishna,M,IND,10240,ST,1074538,1451418,74.03,0.95,2373,0.22,10809,Post Graduate
25,25,GE,andhra_pradesh,aruku,17,1,2019,4,10,biddikaramayya,M,IND,7867,ST,1074538,1451418,74.03,0.73,3157,0.29,10809,Illiterate
