,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
0,1,manoranjanbhakta,INC,0,Post Graduate,65,5926740,272061,1,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
1,2,akbiswas,BSP,0,Graduate,61,7876500,65000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
2,3,asitbarandutta,IND,0,Graduate,50,3070000,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
3,4,bishnupadaray,BJP,0,Graduate,54,1250619,128710,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
4,5,deepakbiswas,IND,0,Not Given,28,3000,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
5,6,drshanmugam,LJNSP,0,Doctorate,66,6166416,67070,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
6,7,gourchandramajumder,IND,0,Graduate,37,36200,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
7,8,kkalimuthu,IND,1,8th Pass,51,472440,73878,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
8,9,kperumal,SWD,0,Literate,65,7752141,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
9,10,nkpnair,CPI(ML)(L),0,Literate,49,772588,188000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
10,11,rsumabharathy,NCP,1,Not Given,40,59977,35000,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
11,12,tapankumarbepari,CPM,0,Post Graduate,46,2435276,0,0,andaman_and_nicobar_islands,andaman_and_nicobar_islands,2004
12,13,madhusudhanreddythakkala,TRS,0,Graduate Professional,59,7550000,120000,1,andhra_pradesh,adilabad,2004
13,14,drsvenugopalachary,TDP,0,Others,42,11580000,1247053,0,andhra_pradesh,adilabad,2004
14,15,mothebarikrao,PRBP,0,Graduate,32,,30000,0,andhra_pradesh,adilabad,2004
15,16,nainalagoverdhan,IND,0,Post Graduate,30,,0,0,andhra_pradesh,adilabad,2004
16,17,dmuralikrishna,BSP,0,Others,59,6763811,748000,1,andhra_pradesh,amalapuram,2004
17,18,dunnajanardhanarao,TDP,0,Graduate,51,988000,60000,0,andhra_pradesh,amalapuram,2004
18,19,muneeswararaobhupati,IND,0,Others,59,236200,35000,0,andhra_pradesh,amalapuram,2004
19,20,yalangiramesh,IND,0,Not Given,40,340000,0,0,andhra_pradesh,amalapuram,2004
20,21,chalapathiraopappala,TDP,0,Graduate,58,5396505,246000,1,andhra_pradesh,anakapalli,2004
21,22,nandagopalgandham,INC,0,Not Given,0,,0,0,andhra_pradesh,anakapalli,2004
22,23,ananthavenkataramireddy,INC,0,Post Graduate,47,3890000,437636,1,andhra_pradesh,anantapur,2004
23,24,ajaganmohanrao,TRS,0,Graduate,32,505000,0,0,andhra_pradesh,anantapur,2004
24,25,bsamarnath,IND,0,Graduate,42,33698,0,0,andhra_pradesh,anantapur,2004
25,26,gaddalanagabhushanam,BSP,0,Graduate,41,97000,9000,0,andhra_pradesh,anantapur,2004
26,27,kvenkatesulu,PPOI,0,12th Pass,44,54000,0,0,andhra_pradesh,anantapur,2004
27,28,kalavasrinivasulu,TDP,0,Post Graduate,39,300320,88000,0,andhra_pradesh,anantapur,2004
28,29,yathampothalaiah,IND,0,Not Given,32,120000,0,0,andhra_pradesh,anantapur,2004
29,30,daggubatipurandareswari,INC,0,Others,44,40907640,5212201,1,andhra_pradesh,bapatla,2004
30,31,chellamallavenkatareddy,TRS,0,Graduate,0,70000,0,0,andhra_pradesh,bapatla,2004
31,32,daggubatiramanaidu,TDP,0,Graduate,67,98790428,0,0,andhra_pradesh,bapatla,2004
32,33,inagantiapparao,IND,0,Others,40,3298000,200000,0,andhra_pradesh,bapatla,2004
33,34,prathipatisrinivasu,IND,0,Graduate,0,,0,0,andhra_pradesh,bapatla,2004
34,35,midiyambaburao,CPM,0,Graduate Professional,52,542000,130000,1,andhra_pradesh,bhadrachalam,2004
35,36,janniapparao,BSP,0,12th Pass,30,100000,0,0,andhra_pradesh,bhadrachalam,2004
36,37,smtkprkphaneeswaramma,TDP,0,Others,39,2941913,42000,0,andhra_pradesh,bhadrachalam,2004
