,Unnamed: 0,Sno,Candidate,Party,CriminalCases,Education,Age,TotalAssets,Liabilities,Winner,State,Constituency,Year
102,102,103,aamarnadh,RKSP,0,Not Given,37,,0,0,andhra_pradesh,chittoor,2009
2280,2280,2281,aameliyahansda,RSP,0,8th Pass,29,709222.0,0,0,jharkhand,rajmahal,2009
4239,4239,4240,aamerahmedmadni,SP,0,Graduate Professional,38,270000.0,0,0,national_capital_territory_of_delhi,new_delhi,2009
5563,5563,5564,aanandanvsks,IND,0,Not Given,46,,0,0,tamil_nadu,sivaganga,2009
3599,3599,3600,aappasahebradhakisankudhekar,KM,0,12th Pass,29,555000.0,0,0,maharashtra,jalna,2009
388,388,389,aarismohammed,IND,0,10th Pass,46,16554.0,0,0,andhra_pradesh,nizamabad,2009
2854,2854,2855,aarokiasamy,IND,0,10th Pass,61,32000.0,0,0,kerala,palakkad,2009
5633,5633,5634,aaronrashidjm,INC,0,12th Pass,59,248974573.0,2191815,1,tamil_nadu,theni,2009
5945,5945,5946,aavidhussain,IND,0,Not Given,31,1095200.0,0,0,uttar_pradesh,amethi,2009
3647,3647,3648,aawalejaywantgangaram,INC,1,10th Pass,68,30485766.0,0,1,maharashtra,latur,2009
3648,3648,3649,aawcharevijaykumarbabruwan,IND,0,Post Graduate,26,15000.0,0,0,maharashtra,latur,2009
6752,6752,6753,abadheshshakya,RSMD,0,10th Pass,41,1230200.0,0,0,uttar_pradesh,mainpuri,2009
7205,7205,7206,abbas,IND,0,5th Pass,31,1176000.0,0,0,uttarakhand,hardwar,2009
2790,2790,2791,abbasmuthalappara,IND,0,10th Pass,47,15000.0,0,0,kerala,kasaragod,2009
7192,7192,7193,abbdulkadir,IND,0,Literate,51,540593.0,5000,0,uttarakhand,garhwal,2009
6542,6542,6543,abdeshbhooshansrivastava,IND,1,Not Given,43,2600.0,0,0,uttar_pradesh,jhansi,2009
6877,6877,6878,abdulajij,PECP,1,10th Pass,57,11396086.0,0,0,uttar_pradesh,muzaffarnagar,2009
4980,4980,4981,abdulaziz,BSP,0,Graduate Professional,71,3203724.0,0,0,rajasthan,nagaur,2009
