Election_Type,State_Name,Constituency_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,Age,District_Name,PC_Name,PC_No,CandID,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,1,BISHNU PADA RAY,M,BJP,90969,GEN,190328,269360,GEN,,15,70.66,47.8,no,7812,4.1,2.38,GEAN42196,,1605,TRUE,7,BJP,1605,ANDAMAN & NICOBAR ISLANDS,TRUE,TRUE,3,FALSE,TRUE,TRUE,,,,,,Graduate,Social Work,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,2,KULDEEP RAI SHARMA,M,INC,83157,GEN,190328,269360,GEN,,15,70.66,43.69,no,79420,41.73,2.38,GEAN64836,,3482,TRUE,3,INC,3482,ANDAMAN & NICOBAR ISLANDS,TRUE,TRUE,0,FALSE,FALSE,TRUE,,,,,,Graduate Professional,Social Work,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,3,SANJAY MESHACK,M,AAAP,3737,GEN,190328,269360,GEN,,15,70.66,1.96,yes,1454,0.76,2.38,GEAN14920,,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,10th Pass,Business,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,4,ANITA MONDAL,F,AITC,2283,GEN,190328,269360,GEN,,15,70.66,1.2,yes,506,0.27,2.38,GEAN14914,,18228,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Graduate,Business,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,5,K.G.DAS,M,CPM,1777,GEN,190328,269360,GEN,,15,70.66,0.93,yes,190,0.1,2.38,GEAN14910,,14635,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,12th Pass,Retired or Pension,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,6,PRAKASH MINJ,M,IND,1587,ST,190328,269360,GEN,,15,70.66,0.83,yes,23,0.01,2.38,GEAN14918,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Post Graduate,Small Business or Self-employed,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,7,None of the Above,NOT,NOTA,1564,NULL,190328,269360,GEN,,15,70.66,0.82,yes,413,0.22,2.38,,,5897,TRUE,,,,,,,,,FALSE,FALSE,,,,,,,,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,8,R.S.UMA BHARATTHY,F,NCP,1151,GEN,190328,269360,GEN,,15,70.66,0.6,yes,12,0.01,2.38,GEAN73948,,5792,TRUE,2,NCP,5792,ANDAMAN & NICOBAR ISLANDS,TRUE,TRUE,0,FALSE,FALSE,FALSE,,,,,,Post Graduate,Social Work,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,9,GOUR CHANDRA MAJUMDER,M,BSP,1139,GEN,190328,269360,GEN,,15,70.66,0.6,yes,292,0.15,2.38,GEAN73949,,16651,TRUE,2,IND,10809,ANDAMAN & NICOBAR ISLANDS,TRUE,FALSE,0,FALSE,FALSE,FALSE,,,,,,Graduate,Business,,Agriculture,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,10,SARAVANAN,M,IND,847,GEN,190328,269360,GEN,,15,70.66,0.45,yes,411,0.22,2.38,GEAN14916,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,Graduate,Small Business or Self-employed,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,11,N K P NAIR,M,CPI(ML)(L),436,GEN,190328,269360,GEN,,15,70.66,0.23,yes,7,0,2.38,GEAN14911,,9890,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,10th Pass,Salaried Work or Employed,Insurance Agent,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,12,V V KHALID,M,IND,429,GEN,190328,269360,GEN,,15,70.66,0.23,yes,50,0.03,2.38,GEAN14915,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,8th Pass,Business,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,13,RAGHUBIR SINGH,M,SP,379,GEN,190328,269360,GEN,,15,70.66,0.2,yes,45,0.02,2.38,GEAN14922,,7425,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,8th Pass,Business,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,14,C G SAJI KUMAR,M,IND,334,GEN,190328,269360,GEN,,15,70.66,0.18,yes,20,0.01,2.38,GEAN14908,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,12th Pass,Salaried Work or Employed,,,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,15,N KANNAN,M,IND,314,GEN,190328,269360,GEN,,15,70.66,0.16,yes,89,0.05,2.38,GEAN14909,,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,8th Pass,Business,,Agriculture,
GE,Andaman_&_Nicobar_Islands,ANDAMAN & NICOBAR ISLANDS,16,1,2014,4,0,4,16,A PANDIAN,M,AIFB,225,GEN,190328,269360,GEN,,15,70.66,0.12,yes,0,0,2.38,GEAN14912,,3040,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,,,,,12th Pass,Business,,,
