Sno,Candidate,Party,Criminal Cases,Education,Age,Total Assets,Liabilities,Winner,State,Constituency
1,Shri Bishnu Pada Ray   Winner ,BJP, 1 ,Graduate,59,"Rs 12,41,034 ~ 12 Lacs+",Rs 0 ~ ,1,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
2,Shri P. R. Ganeshan,RJD,0,Not Given,71,"Rs 3,29,563 ~ 3 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
3,Shri Pradeep Kumar Ekka,JDP,0,Others,37,"Rs 4,10,000 ~ 4 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
4,Shri T. Ali,IND,0,12th Pass,37,"Rs 4,45,957 ~ 4 Lacs+","Rs 2,96,000 ~ 2 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
5,Shri Tapan Kumar Bepari,CPM,0,Post Graduate,52,"Rs 39,86,000 ~ 39 Lacs+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
6,Shri Vakiath Valappil Khalid,IND,0,8th Pass,41,"Rs 57,000 ~ 57 Thou+","Rs 48,362 ~ 48 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
7,Shri. Kuldeep Rai Sharma,INC, 1 ,Graduate Professional,41,"Rs 54,09,630 ~ 54 Lacs+","Rs 10,374 ~ 10 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
8,Shri. M. S. Mohan,BSP,0,10th Pass,50,"Rs 54,52,500 ~ 54 Lacs+","Rs 3,00,000 ~ 3 Lacs+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
9,Shri. N. K. P. Nair,CPI(ML)(L),0,10th Pass,54,"Rs 14,88,456 ~ 14 Lacs+","Rs 62,000 ~ 62 Thou+",0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
10,Smti. R. S. Uma Bharathy,NCP, 1 ,Graduate,44,"Rs 73,000 ~ 73 Thou+",Rs 0 ~ ,0,ANDAMAN & NICOBAR ISLANDS,Andaman & Nicobar Islands
11,Ramesh Rathod   Winner ,TDP, 2 ,12th Pass,43,"Rs 34,10,000 ~ 34 Lacs+","Rs 8,15,241 ~ 8 Lacs+",1,ANDHRA PRADESH,Adilabad
12,A Laxman Rao,IND,0,10th Pass,47,"Rs 15,60,000 ~ 15 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
13,Ade Tukaram,BJP,0,10th Pass,55,"Rs 8,65,000 ~ 8 Lacs+","Rs 3,70,000 ~ 3 Lacs+",0,ANDHRA PRADESH,Adilabad
14,Banka Sahadev,IND,0,Not Given,56,"Rs 1,18,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
15,G Pentanna,IND,0,Post Graduate,36,"Rs 4,36,000 ~ 4 Lacs+","Rs 13,000 ~ 13 Thou+",0,ANDHRA PRADESH,Adilabad
16,Kotnak Ramesh,INC,0,12th Pass,39,"Rs 26,00,000 ~ 26 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
17,Masram Nago Rao,PRAP,0,Post Graduate,59,"Rs 3,50,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
18,N Ramdas,IND,0,5th Pass,35,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
19,Rathod Sadashiv Naik,BSP,0,Graduate,50,"Rs 11,50,000 ~ 11 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Adilabad
20,G V Harsha Kumar   Winner ,INC, 1 ,Post Graduate,50,"Rs 72,89,000 ~ 72 Lacs+","Rs 10,14,298 ~ 10 Lacs+",1,ANDHRA PRADESH,Amalapuram
21,AKUMARTHI SURYANARAYANA,Trilinga Praja Pragati Party,0,5th Pass,50,"Rs 3,95,000 ~ 3 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
22,BHEEMARAO RAMJI MUTHABATHULA,PPOI,0,10th Pass,39,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
23,Doctor G Varalakshmi,TDP,0,Graduate Professional,51,"Rs 1,08,53,316 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
24,G Sampada Rao,BSP,0,Graduate Professional,39,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
25,K Uma Maheswara Rao,BJP,0,Graduate Professional,65,"Rs 1,60,79,000 ~ 1 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
26,KIRAN KUMAR BINEPE,PBHP,0,Not Given,43,"Rs 15,887 ~ 15 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
27,Masa Ramadasu,RDMP,0,Not Given,45,"Rs 20,000 ~ 20 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
28,P V Chakravarthi,RPI(KH),0,Graduate Professional,54,"Rs 2,00,000 ~ 2 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
29,Pothula Prameela Devi,PRAP,0,Graduate,55,"Rs 5,50,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
30,Yalangi Ramesh,IND,0,Graduate Professional,45,"Rs 5,20,000 ~ 5 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Amalapuram
31,Sabbam Hari   Winner ,INC,0,12th Pass,55,"Rs 8,50,32,286 ~ 8 Crore+","Rs 4,50,000 ~ 4 Lacs+",1,ANDHRA PRADESH,Anakapalle
32,ALLU ARAVIND,PRAP, 1 ,Graduate,62,"Rs 45,21,81,969 ~ 45 Crore+","Rs 5,39,58,644 ~ 5 Crore+",0,ANDHRA PRADESH,Anakapalle
33,Bheemisetti Nageswararao,RJD,0,Post Graduate,41,"Rs 11,20,500 ~ 11 Lacs+","Rs 2,00,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Anakapalle
34,Boyina Nageswara Rao,JD(U),0,5th Pass,52,"Rs 5,00,000 ~ 5 Lacs+","Rs 3,80,898 ~ 3 Lacs+",0,ANDHRA PRADESH,Anakapalle
35,Kirla Appa Rao,BJP,0,Not Given,57,"Rs 50,000 ~ 50 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
36,Nanda Gopal Gandham,IND,0,Others,60,"Rs 14,81,80,000 ~ 14 Crore+","Rs 3,00,00,000 ~ 3 Crore+",0,ANDHRA PRADESH,Anakapalle
37,NOOKARAPU SURYA PRAKASA RAO,TDP,0,Graduate,50,"Rs 11,97,26,600 ~ 11 Crore+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
38,Pathala Satya Rao,IND,0,Literate,46,"Rs 1,50,000 ~ 1 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
39,Pulamarasetti .Venkata Ramana,PPOI,0,Graduate,28,"Rs 3,500 ~ 3 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anakapalle
40,Venkata Ramana Babu Pilla,BSP,0,10th Pass,35,"Rs 60,46,173 ~ 60 Lacs+","Rs 17,98,837 ~ 17 Lacs+",0,ANDHRA PRADESH,Anakapalle
41,ANANTHA VENKATA RAMI REDDY   Winner ,INC,0,Post Graduate,52,"Rs 1,30,15,000 ~ 1 Crore+",Rs 0 ~ ,1,ANDHRA PRADESH,Anantapur
42,AMARNATH,LSP,0,Graduate,32,"Rs 4,88,500 ~ 4 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
43,AMBATI RAMA KRISHNA REDDY,BJP,0,Graduate Professional,41,"Rs 2,55,50,000 ~ 2 Crore+","Rs 2,51,000 ~ 2 Lacs+",0,ANDHRA PRADESH,Anantapur
44,DEVELLA MURALI,IND,0,5th Pass,45,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
45,G HARI,PPOI,0,Post Graduate,30,"Rs 80,000 ~ 80 Thou+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
46,GADDALA NAGABHUSHANAM,BSP, 2 ,Post Graduate,48,"Rs 5,75,000 ~ 5 Lacs+","Rs 9,000 ~ 9 Thou+",0,ANDHRA PRADESH,Anantapur
47,J C RAMANUJULA REDDY,IND,0,8th Pass,52,"Rs 25,43,000 ~ 25 Lacs+",Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
48,K P NARAYANA SWAMY,IND,0,Graduate,41,Nil,Rs 0 ~ ,0,ANDHRA PRADESH,Anantapur
